,sold_quantity
34402,0.0
92514,0.0
150814,28.3
10887,3.05
132989,0.0
134613,0.0
119640,0.0
1921,0.0
104541,1.5
117846,6.3
51124,1.35
142071,0.75
111049,0.0
132571,0.0
126039,0.0
84406,0.2
135049,9.7
71389,0.15
167859,0.25
151539,0.0
87139,1.5
67560,0.0
129834,1.0
119751,4.55
15842,0.0
22798,0.0
90406,26.25
92414,0.0
39039,7.85
27250,0.05
76524,0.0
137200,1.55
137309,0.0
140033,0.3
104825,0.0
165441,0.0
63705,0.0
41106,1.3
31116,1.7
111631,0.0
85369,17.15
153077,6.35
67365,0.0
24090,0.0
157911,0.0
159829,5.55
136068,0.0
78490,0.0
113074,0.0
115467,0.0
81684,3.8
120510,0.0
109185,0.0
10020,1.95
112646,1.25
46277,0.0
78161,0.0
82054,0.0
87042,0.1
144759,1.2
165024,0.0
63701,0.0
141133,0.0
154778,0.0
72856,0.25
150586,1.5
133880,0.0
25433,0.0
135667,0.0
28778,0.0
50702,0.3
124846,0.0
167858,0.0
13931,6.3
12340,1.5
140793,0.6
30106,0.0
157577,0.2
137897,6.784
5691,25.05
38930,1.0
12758,0.0
72802,0.55
69958,0.0
35750,0.0
105471,0.1
119285,0.85
118068,0.0
45776,0.0
132586,0.25
132672,0.3
112955,0.0
30533,5.0
68894,0.0
90282,1.5
161687,0.0
117452,0.25
46400,3.5
145235,0.0
146184,6.25
124029,0.6
46299,0.0
52038,0.0
11988,0.0
150975,0.0
18066,2.3
137506,0.75
12755,0.0
161833,0.55
75699,0.0
3739,1.55
50201,0.0
54005,1.9
10662,0.0
100874,0.05
138119,0.0
155984,0.0
18618,0.0
55956,0.0
47621,0.0
147358,0.0
112908,0.0
43346,0.0
34371,0.0
77733,0.95
135650,0.0
79923,0.0
33360,2.0
111971,0.0
49694,0.0
77128,0.0
23570,0.8
78058,0.0
19453,0.1
11003,1.0
60448,0.25
145858,0.5
125817,25.2
98409,0.0
158985,1.95
18429,0.0
6346,0.0
67397,0.5
64151,4.85
51203,2.7
94947,0.0
119515,0.05
26446,0.0
166080,0.0
103808,0.7
77738,0.0
147832,0.1
131902,0.0
66968,0.0
113226,0.25
103150,0.0
165916,0.0
135891,1.05
109964,0.0
112193,1.0
17675,0.0
2295,0.0
66358,0.0
102171,0.0
160829,2.4
91870,7.6
121497,3.9
50754,0.0
137066,0.0
8520,0.3
126079,10.8
122559,0.1
63667,0.25
164651,0.0
160700,2.6
119360,10.35
46229,0.0
38443,0.25
84249,1.0
26737,0.4
37881,1.65
88671,8.5
94804,1.0
117779,0.25
157755,2.8
18354,3.25
60668,4.5
65419,0.0
145160,0.0
154807,0.15
135901,0.75
22394,0.25
157062,7.0
158742,0.0
